Time,load_MW,solar_MW,wind_MW,net_load_MW,source,as_of_date,hour,ev_load_MW_low,net_load_plus_ev_MW_low,ev_load_MW_mid,net_load_plus_ev_MW_mid,ev_load_MW_high,net_load_plus_ev_MW_high
2025-04-18 00:00:00-07:00,22528,0.0,6161.416666666667,16366.583333333332,CAISO via gridstatus,2025-04-18,0,1046.16888107852,17412.752214411852,1459.4055891045355,17825.988922437868,1726.178653779558,18092.76198711289
2025-04-18 01:00:00-07:00,21743,0.0,5957.0,15786.0,CAISO via gridstatus,2025-04-18,1,837.1732844859146,16623.173284485914,1167.856731857851,16953.85673185785,1381.3359194017592,17167.335919401758
2025-04-18 02:00:00-07:00,20951,0.0,5659.166666666667,15291.833333333332,CAISO via gridstatus,2025-04-18,2,541.2132955264626,15833.046628859795,754.9925472594155,16046.825880592747,893.0019376186634,16184.835270951995
2025-04-18 03:00:00-07:00,20496,0.0,5420.0,15076.0,CAISO via gridstatus,2025-04-18,3,319.2080056163003,15395.2080056163,445.29516783473895,15521.295167834738,526.6932092668955,15602.693209266896
2025-04-18 04:00:00-07:00,20681,0.0,5138.083333333333,15542.916666666668,CAISO via gridstatus,2025-04-18,4,182.7056520988478,15725.622318765516,254.87438467789266,15797.79105134456,301.4643259630989,15844.380992629767
2025-04-18 05:00:00-07:00,21751,0.0,4927.166666666667,16823.833333333332,CAISO via gridstatus,2025-04-18,5,138.14861677207995,16961.98195010541,192.71732039705154,17016.550653730385,227.94521767393192,17051.778551007264
2025-04-18 06:00:00-07:00,23002,710.5833333333334,4719.833333333333,17571.583333333336,CAISO via gridstatus,2025-04-18,6,209.14566010436522,17780.7289934377,291.7581958455895,17863.341529178924,345.0903391722026,17916.673672505538
2025-04-18 07:00:00-07:00,24901,7367.083333333333,4597.166666666667,12936.75,CAISO via gridstatus,2025-04-18,7,377.7268613697238,13314.476861369723,526.9289716107647,13463.678971610765,623.2493212600443,13559.999321260044
2025-04-18 08:00:00-07:00,26172,14194.666666666666,4153.416666666667,7823.916666666667,CAISO via gridstatus,2025-04-18,8,548.1524392944,8372.069105961067,764.672652815688,8588.589319482355,904.45152483576,8728.368191502426
2025-04-18 09:00:00-07:00,26561,15185.666666666666,4007.3333333333335,7368.0,CAISO via gridstatus,2025-04-18,9,616.1275139760697,7984.12751397607,859.4978819966174,8227.497881996618,1016.6103980605152,8384.610398060515
2025-04-18 10:00:00-07:00,26258,17375.25,3757.25,5125.5,CAISO via gridstatus,2025-04-18,10,588.0331111955833,5713.533111195583,820.3061901178388,5945.806190117839,970.2546334727125,6095.754633472712
2025-04-18 11:00:00-07:00,25486,18347.25,3273.25,3865.5,CAISO via gridstatus,2025-04-18,11,530.6393621657975,4396.139362165797,740.2419102212875,4605.741910221288,875.5549475735659,4741.054947573566
2025-04-18 12:00:00-07:00,24562,18840.583333333332,3749.75,1971.666666666668,CAISO via gridstatus,2025-04-18,12,498.49102688042507,2470.157693547093,695.394982498193,2667.061649164861,822.5101943527014,2794.1768610193694
2025-04-18 13:00:00-07:00,23716,18525.166666666668,4265.916666666667,924.9166666666652,CAISO via gridstatus,2025-04-18,13,474.86304645488434,1399.7797131215495,662.4339498045637,1587.350616471229,783.5240266505592,1708.4406933172245
2025-04-18 14:00:00-07:00,22931,17638.416666666668,4602.0,690.5833333333321,CAISO via gridstatus,2025-04-18,14,449.1349160938244,1139.7182494271565,626.5432079508851,1317.1265412842172,741.0726115548104,1431.6559448881426
2025-04-18 15:00:00-07:00,21491,15851.75,5098.333333333333,540.916666666667,CAISO via gridstatus,2025-04-18,15,413.22168689025705,954.138353556924,576.4442532119086,1117.3609198785757,681.8157833689241,1222.7324500355912
2025-04-18 16:00:00-07:00,21768,13595.166666666666,5739.75,2433.083333333334,CAISO via gridstatus,2025-04-18,16,322.34529400994285,2755.4286273432767,449.67168514387026,2882.7550184772044,531.8697351164058,2964.9530684497395
2025-04-18 17:00:00-07:00,23834,12449.333333333334,5883.25,5501.416666666666,CAISO via gridstatus,2025-04-18,17,315.1925130257562,5816.609179692422,439.69355567093,5941.1102223375965,520.0676464924978,6021.484313159164
2025-04-18 18:00:00-07:00,23713,5491.416666666667,5891.5,12330.083333333332,CAISO via gridstatus,2025-04-18,18,365.14739940115334,12695.230732734486,509.38062216460895,12839.46395549794,602.4932090119031,12932.576542345236
2025-04-18 19:00:00-07:00,24929,327.3333333333333,5933.333333333333,18668.333333333336,CAISO via gridstatus,2025-04-18,19,387.9496608974527,19056.282994230787,541.1897769519466,19209.52311028528,640.116940480797,19308.45027381413
2025-04-18 20:00:00-07:00,25323,0.3333333333333333,5408.416666666667,19914.25,CAISO via gridstatus,2025-04-18,20,416.9636647056716,20331.213664705672,581.6643122644119,20495.914312264413,687.9900467643582,20602.240046764357
2025-04-18 21:00:00-07:00,25103,6.583333333333333,4316.666666666667,20779.75,CAISO via gridstatus,2025-04-18,21,581.8738541513253,21361.623854151327,811.7140265410989,21591.4640265411,960.0918593496868,21739.841859349686
2025-04-18 22:00:00-07:00,23753,7.833333333333333,3563.5833333333335,20181.583333333336,CAISO via gridstatus,2025-04-18,22,719.0562984609893,20900.639631794325,1003.0835363530801,21184.666869686414,1186.4428924606325,21368.02622579397
2025-04-18 23:00:00-07:00,22288,8.25,3271.5833333333335,19008.166666666668,CAISO via gridstatus,2025-04-18,23,1007.317955344241,20015.48462201091,1405.2085477052165,20413.375214371885,1662.0746263179979,20670.241292984665
