Time,load_MW,solar_MW,wind_MW,net_load_MW,source,as_of_date,hour,ev_load_MW_low,net_load_plus_ev_MW_low,ev_load_MW_mid,net_load_plus_ev_MW_mid,ev_load_MW_high,net_load_plus_ev_MW_high
2026-07-15 00:00:00-07:00,31395,0.0,4688.0,26707.0,CAISO via gridstatus,2026-07-15,0,848.6450744059141,27555.645074405915,1145.670850447984,27852.670850447983,1400.2643727697582,28107.264372769758
2026-07-15 01:00:00-07:00,29535,0.0,4743.333333333333,24791.666666666668,CAISO via gridstatus,2026-07-15,1,549.7317308696041,25341.39839753627,742.1378366739656,25533.804503340634,907.0573559348469,25698.724022601516
2026-07-15 02:00:00-07:00,28368,0.0,4533.666666666667,23834.333333333332,CAISO via gridstatus,2026-07-15,2,324.61985554556986,24158.953188878902,438.2368049865193,24272.57013831985,535.6227616501903,24369.95609498352
2026-07-15 03:00:00-07:00,27678,0.0,4006.0833333333335,23671.916666666668,CAISO via gridstatus,2026-07-15,3,186.47511510737317,23858.39178177404,251.74140539495377,23923.658072061622,307.68393992716574,23979.600606593835
2026-07-15 04:00:00-07:00,27232,0.0,3465.4166666666665,23766.583333333332,CAISO via gridstatus,2026-07-15,4,141.58347872534594,23908.166812058676,191.13769627921704,23957.72102961255,233.61273989682084,24000.196073230152
2026-07-15 05:00:00-07:00,27297,0.0,3091.6666666666665,24205.333333333332,CAISO via gridstatus,2026-07-15,5,213.81623080619883,24419.14956413953,288.6519115883684,24493.9852449217,352.7967808302281,24558.13011416356
2026-07-15 06:00:00-07:00,28302,2619.9166666666665,2770.0,22912.083333333332,CAISO via gridstatus,2026-07-15,6,387.8149075167277,23299.89824085006,523.5501251475824,23435.633458480916,639.8945974026008,23551.97793073593
2026-07-15 07:00:00-07:00,33094,12324.0,2325.5,18444.5,CAISO via gridstatus,2026-07-15,7,550.0552461831633,18994.555246183165,742.5745823472704,19187.07458234727,907.5911562022194,19352.09115620222
2026-07-15 08:00:00-07:00,36940,18763.666666666668,1876.8333333333333,16299.499999999998,CAISO via gridstatus,2026-07-15,8,614.8886033920945,16914.388603392094,830.0996145793276,17129.599614579325,1014.566195596956,17314.066195596955
2026-07-15 09:00:00-07:00,37735,20948.833333333332,1572.5833333333333,15213.583333333334,CAISO via gridstatus,2026-07-15,9,586.0779730538745,15799.661306387208,791.2052636227306,16004.788596956065,967.028655538893,16180.611988872228
2026-07-15 10:00:00-07:00,37054,21634.166666666668,1509.25,13910.583333333332,CAISO via gridstatus,2026-07-15,10,528.5995921383421,14439.182925471674,713.609449386762,14624.192782720094,872.1893270282646,14782.772660361597
2026-07-15 11:00:00-07:00,37317,22231.583333333332,1460.9166666666667,13624.500000000002,CAISO via gridstatus,2026-07-15,11,493.92200788716883,14118.422007887171,666.7947106476779,14291.29471064768,814.9713130138286,14439.47131301383
2026-07-15 12:00:00-07:00,38244,22364.916666666668,1637.9166666666667,14241.166666666666,CAISO via gridstatus,2026-07-15,12,461.71187567282414,14702.878542339491,623.3110321583126,14864.47769882498,761.8245948601599,15002.991261526826
2026-07-15 13:00:00-07:00,39210,22143.583333333332,2202.4166666666665,14864.000000000002,CAISO via gridstatus,2026-07-15,13,433.0219158062517,15297.021915806254,584.5795863384399,15448.579586338441,714.4861610803154,15578.486161080316
2026-07-15 14:00:00-07:00,40380,21223.5,3053.5,16103.0,CAISO via gridstatus,2026-07-15,14,386.7259120333261,16489.725912033326,522.0799812449902,16625.07998124499,638.0977548549881,16741.09775485499
2026-07-15 15:00:00-07:00,41544,20019.916666666668,3914.75,17609.333333333332,CAISO via gridstatus,2026-07-15,15,301.12909029485564,17910.46242362819,406.52427189805513,18015.857605231387,496.86299898651185,18106.196332319843
2026-07-15 16:00:00-07:00,42179,18564.916666666668,4231.083333333333,19383.0,CAISO via gridstatus,2026-07-15,16,308.43594646152303,19691.435946461523,416.3885277230561,19799.388527723055,508.91931166151306,19891.919311661513
2026-07-15 17:00:00-07:00,42861,15553.833333333334,4621.583333333333,22685.583333333332,CAISO via gridstatus,2026-07-15,17,362.18316678131055,23047.76650011464,488.9472751547693,23174.5306084881,597.6022251891625,23283.185558522495
2026-07-15 18:00:00-07:00,43429,10842.0,5003.833333333333,27583.166666666668,CAISO via gridstatus,2026-07-15,18,389.54501115011186,27972.71167781678,525.8857650526511,28109.05243171932,642.7492683976847,28225.915935064353
2026-07-15 19:00:00-07:00,42857,2791.8333333333335,5041.583333333333,35023.58333333333,CAISO via gridstatus,2026-07-15,19,424.1567078431458,35447.740041176476,572.6115555882468,35596.19488892158,699.8585679411906,35723.44190127452
2026-07-15 20:00:00-07:00,41314,0.0,5215.75,36098.25,CAISO via gridstatus,2026-07-15,20,592.4786902187195,36690.72869021872,799.8462317952715,36898.09623179527,977.5898388608873,37075.839838860884
2026-07-15 21:00:00-07:00,39747,0.0,5555.416666666667,34191.583333333336,CAISO via gridstatus,2026-07-15,21,718.6740927251836,34910.25742605852,970.210025178998,35161.79335851233,1185.812252996553,35377.39558632989
2026-07-15 22:00:00-07:00,36965,0.0,5713.916666666667,31251.083333333332,CAISO via gridstatus,2026-07-15,22,1001.9084183533006,32252.991751686634,1352.5763647769559,32603.65969811029,1653.1488902829462,32904.23222361628
2026-07-15 23:00:00-07:00,33966,0.0,5893.666666666667,28072.333333333332,CAISO via gridstatus,2026-07-15,23,1079.7993570280585,29152.13269036139,1457.729131987879,29530.06246532121,1781.6689390962968,29854.00227242963
